run,task,frac,wd,seed,opt,lr,muon_lr,muon_scope,steps_done,t_memorise,t_grok,grok_gap,final_train_acc,final_val_acc,best_val_acc
r1_mod_div_control,mod_div_97,0.5,1.0,0,adamw,0.001,,,40500,525.0,725.0,1.4,1.0,1.0,1.0
r2_mod_add_ref,mod_add_97,0.4,1.0,0,adamw,0.001,,,40575,425.0,700.0,1.6,1.0,1.0,1.0
r3_dihedral_main,dihedral_48,0.3,1.0,0,adamw,0.001,,,38700,325.0,5750.0,17.7,1.0,1.0,1.0
r4_dihedral_seed1,dihedral_48,0.3,1.0,1,adamw,0.001,,,40750,350.0,5800.0,16.6,0.753,0.6948,1.0
r5_dihedral_wd0,dihedral_48,0.3,0.0,0,adamw,0.001,,,40600,275.0,,,0.9996,0.011,0.0152
r6_dihedral_wd01,dihedral_48,0.3,0.1,0,adamw,0.001,,,40850,275.0,31550.0,114.7,1.0,1.0,1.0
r7_dihedral_frac020,dihedral_48,0.2,1.0,0,adamw,0.001,,,40750,225.0,,,1.0,0.0096,0.0119
r8_dihedral_frac040,dihedral_48,0.4,1.0,0,adamw,0.001,,,34325,675.0,2100.0,3.1,1.0,1.0,1.0
r9_dihedral_wdexcl,dihedral_48,0.3,1.0,0,adamw,0.001,,,18025,300.0,4450.0,14.8,0.6192,0.5498,1.0
o_muon,dihedral_48,0.3,1.0,0,muon,0.001,0.02,,6525,300.0,425.0,1.4,1.0,1.0,1.0
o_adam_l2,dihedral_48,0.3,0.1,0,adam_l2,0.001,,,15000,,,,0.0217,0.0082,0.0098
o_sgd,dihedral_48,0.3,0.1,0,sgd,0.1,,,8600,,,,0.0141,0.0088,0.0102
o_rmsprop,dihedral_48,0.3,0.1,0,rmsprop,0.001,,,14750,,,,0.0148,0.0085,0.0099
lr_adamw_0.0003,dihedral_48,0.3,1.0,0,adamw,0.0003,,,30000,450.0,,,1.0,0.0597,0.0639
lr_adamw_0.003,dihedral_48,0.3,1.0,0,adamw,0.003,,,30000,775.0,2625.0,3.4,0.9013,0.8472,1.0
lr_adamw_0.01,dihedral_48,0.3,1.0,0,adamw,0.01,,,30000,850.0,875.0,1.0,0.8094,0.7126,1.0
lr_muon_0.005_hidden,dihedral_48,0.3,1.0,0,muon,0.001,0.005,hidden,10000,325.0,500.0,1.5,1.0,0.9995,1.0
lr_muon_0.02_hidden,dihedral_48,0.3,1.0,0,muon,0.001,0.02,hidden,10000,350.0,450.0,1.3,0.9986,0.9958,1.0
lr_muon_0.05_hidden,dihedral_48,0.3,1.0,0,muon,0.001,0.05,hidden,10000,225.0,325.0,1.4,0.9555,0.9434,1.0
lr_muon_0.02_all2d,dihedral_48,0.3,1.0,0,muon,0.001,0.02,all_2d,10000,300.0,425.0,1.4,1.0,1.0,1.0
wd_prod1e-2_lr1e-3,dihedral_48,0.3,10.0,0,adamw,0.001,,,30000,,,,0.0336,0.0202,0.0321
wd_prod1e-3_lr1e-2,dihedral_48,0.3,0.1,0,adamw,0.01,,,30000,1575.0,10525.0,6.7,1.0,1.0,1.0
wd_prod1e-3_lr3e-3,dihedral_48,0.3,0.333,0,adamw,0.003,,,30000,450.0,6150.0,13.7,1.0,1.0,1.0
wd_prod1e-4_lr1e-2,dihedral_48,0.3,0.01,0,adamw,0.01,,,30000,1450.0,,,0.9993,0.0047,0.0098
wd_late2000,dihedral_48,0.3,1.0,0,adamw,0.001,,,30000,275.0,7325.0,26.6,1.0,1.0,1.0
wd_late10000,dihedral_48,0.3,1.0,0,adamw,0.001,,,30000,275.0,14150.0,51.5,1.0,1.0,1.0
wd_only_attn,dihedral_48,0.3,1.0,0,adamw,0.001,,,30000,275.0,,,1.0,0.0194,0.0222
wd_only_mlp,dihedral_48,0.3,1.0,0,adamw,0.001,,,30000,275.0,,,1.0,0.004,0.0098
wd_only_embed,dihedral_48,0.3,1.0,0,adamw,0.001,,,30000,275.0,,,1.0,0.0133,0.0164
wd_off8000,dihedral_48,0.3,1.0,0,adamw,0.001,,,30000,325.0,5750.0,17.7,1.0,1.0,1.0
g_attn_gdn,dihedral_48,0.3,1.0,0,adamw,0.001,,,30000,725.0,5725.0,7.9,1.0,1.0,1.0
g_gdn_attn,dihedral_48,0.3,1.0,0,adamw,0.001,,,30000,275.0,7325.0,26.6,0.9888,0.9727,1.0
g_gdn_gdn,dihedral_48,0.3,1.0,0,adamw,0.001,,,30000,650.0,,,1.0,0.0291,0.0296
